,Class Title,Typed Notes,Python Reading Material Link,Reference Code (if applicable),Python Video Content
,Backend LLD & Projects: Machine Coding - 4: Code TicTacToe 2,,https://drive.google.com/file/d/1g-PpJ6bure0Md-_2o2rqVi_9ITeNWIG0/view?usp=drive_link,,https://drive.google.com/file/d/1_8Mque65egfyb65uIx4xCoYAr74dEd4T/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 5: Code TicTacToe 3,,https://drive.google.com/file/d/1QhjtpX84D-rAs8t00IvM06tz6rkj6BSi/view?usp=drive_link,,https://drive.google.com/file/d/1al2_s9g0I1KCGvWiWek0VlhBQ_-Uc0GU/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 6: Design Parking Lot,https://github.com/kanmaytacker/design-questions/blob/master/notes/04-design-a-parking-lot-answers.md,"Worksheet
Answers",,NA
,Backend LLD & Projects: Machine Coding - 7: Code Parking Lot 1,,https://drive.google.com/file/d/11_IwHPjeCOM7h0U_uFRaXEdFNRAVYCvR/view?usp=drive_link,https://github.com/scaleracademy/lld-python/tree/main/design-questions/parking_lot,https://drive.google.com/file/d/1rISAnoperfUjRs7vLpAGnulkeWjD5UL4/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 8: Code Parking Lot 2,,https://drive.google.com/file/d/12TB-QwTZRZtBJV5tdH02a-A067H3N5Dw/view?usp=drive_link,,https://drive.google.com/file/d/1nmSdVwYKJkpdOIQb-BZfsMpWgfu5Hz68/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 9: Design BookMyShow,https://github.com/kanmaytacker/design-questions/blob/master/notes/06-design-book-my-show.md,"Worksheet
Answers",,NA
,Backend LLD & Projects: Machine Coding - 10: Code BookMyShow 1,,https://drive.google.com/file/d/1gzw1SyI3CjqI1YP90_srMzSf9M4i1Moh/view?usp=drive_link,https://github.com/scaleracademy/lld-python/tree/main/design-questions/book_my_show/book_my_show,https://drive.google.com/file/d/1Yjw6DeYseOrc9AUv3k3f37Awg8KDJr9H/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 11: Code BookMyShow 2,,https://drive.google.com/file/d/15i99QXgtg1ZxbQ5YCOKd2fdRLF_sun0B/view?usp=drive_link,,https://drive.google.com/file/d/17TfzK4GAQUNXWPP2VvpoUV-z3d1v0ik3/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 12: Code BookMyShow 3,,https://drive.google.com/file/d/16XUbRrtEgniaM-NNT88AgdgR2MwOS6YO/view?usp=drive_link,,https://drive.google.com/file/d/14oSFaunmamBiTopZN2nTt-3mVXY2a6O3/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 13: Design Splitwise,"https://github.com/kanmaytacker/design-questions/blob/master/notes/07-design-splitwise.md
","Worksheet
Answers",,NA
,Backend LLD & Projects: Machine Coding - 14: Code Splitwise 1,,,https://github.com/scaleracademy/lld-python/tree/main/design-questions/splitwise/splitwise,https://drive.google.com/file/d/1_mNZH4PCneF10mbdGDyV0VG6k9Vanaxn/view?usp=drive_link
,Backend LLD & Projects: Machine Coding - 15: Code Splitwise 2,,,,https://drive.google.com/file/d/1IWZXTBnj1OP7vsKBc4wINntR9k4JG1fH/view?usp=drive_link
